category,name,url,Image URL,Type,Base spirit,Ingredients,Preparation,Served,Standard drinkware,Standard garnish
Tequila,Matador,https://en.wikipedia.org/wiki/Matador_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Pineapple-2540622.jpg/250px-Pineapple-2540622.jpg,Cocktail,Tequila,1 to 1.5 parts silver or blanco tequila 2 to 3 parts pineapple juice Juice of half a lime,Mix the ingredients in ashakerhalf full of ice. Strain and serve in a chilled cocktail glass or champagne flute.,shaken,Cocktail glass,lime slice or twist
Tequila,Mexican martini,https://en.wikipedia.org/wiki/Mexican_martini,,,,,,,,
Tequila,Mojito blanco,https://en.wikipedia.org/wiki/Nojito,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/15-09-26-RalfR-WLC-0072.jpg/250px-15-09-26-RalfR-WLC-0072.jpg,Cocktail,Rum,45 mL white rum white rum 20 mL fresh lime juice lime juice 6 sprigs of mint 2 teaspoons white cane sugar (or 20 mL of sugar syrup sugar syrup ) Soda water,Mix mint sprigs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,On the rocks: poured over ice,Collins glass,sprigs of mint or slice of lime
Tequila,Paloma,https://en.wikipedia.org/wiki/Paloma_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/TequilaPaloma.JPG/250px-TequilaPaloma.JPG,Cocktail,Tequila,50 mL 100% agave tequila 5 mL fresh lime juice pinch of salt 100 mL pink grapefruit soda,"Pour the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.",On the rocks: poured over ice,Highball glass,slice of lime
Tequila,Sangrita,https://en.wikipedia.org/wiki/Sangrita,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sangrita_Rot.jpg/250px-Sangrita_Rot.jpg,Drink,,"Orange juice, lime juice, chili sauce",,,,
Tequila,Tequila slammer,https://en.wikipedia.org/wiki/Tequila_slammer,,Mixed drink shooter/drink shot,Tequila,"One part tequila One part 7 Up 7 Up , ginger ale ginger ale , Sprite , or Mountain Dew Mountain Dew",Mix carefully to avoid releasing the dissolvedCO2.,"Straight up: chilled, without ice",Rocks glass,
Tequila,Tequila sour,https://en.wikipedia.org/wiki/Tequila_sour,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Whiskey_sour.jpg/250px-Whiskey_sour.jpg,Cocktail family,"Gin,Bourbon whiskey,Brandy,Pisco,Rum,Amaretto",,,,,
Tequila,Tequila sunrise,https://en.wikipedia.org/wiki/Tequila_sunrise,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Tequila_Sunrise_%285084102035%29.jpg/250px-Tequila_Sunrise_%285084102035%29.jpg,Mixed drink,Tequila,45 mL tequila 90 mL fresh orange juice orange juice 15 mL grenadine syrup grenadine syrup,"Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",On the rocks: poured over ice,Highball glass,halforangeslice or orangezest
Tequila,Tommy's margarita,https://en.wikipedia.org/wiki/Tommy%27s_margarita,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/TommysMargarita.jpg/250px-TommysMargarita.jpg,Mixed drink,Tequila,60 mL Tequila 100% agave 30 mL Fresh lime juice lime juice 30 mL Agave syrup Agave syrup,"Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.",On the rocks: poured over ice,Rocks glass,Lime slice
Tequila,Vampiro,https://en.wikipedia.org/wiki/Vampiro_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Vampiro_coctail_Orange.jpg/250px-Vampiro_coctail_Orange.jpg,Cocktail,Tequila,5 cL tequila 7 cL tomato juice tomato juice 3 cL fresh orange juice orange juice 1 cL fresh lime juice lime juice 1 teaspoon clear honey Half slice onion finely chopped Few slices fresh red hot chili pepper chili pepper Few drops of Worcestershire Sauce Salt,Pour ingredients into glass rimmed with salt. Stir.,On the rocks: poured over ice,Old fashioned glass,Salton the rim.Chili pepper(optional)
